"id","code","name"
insurance_job_0001, 11000, Chemical Doctor
insurance_job_0002, 11100, general chemist
insurance_job_0003, 11200, A chemist specializing in organic chemistry
insurance_job_0004, 11300, A chemist specializing in inorganic chemistry
insurance_job_0005, 11400, A chemist specializing in natural chemistry
insurance_job_0006, 11500, A chemist specializes in analyzes
insurance_job_0007, 11900, Other chemists
insurance_job_0008, 12000, Geophysics
insurance_job_0009, 12100, General physicist
insurance_job_0010, 12200, Mechanic - physicist
insurance_job_0011, 12300, Physicist specializing in heat
insurance_job_0012, 12400, Physicist specializing in light
insurance_job_0013, 12500, A physicist who specializes in sound
insurance_job_0014, 12600, Physicist specializing in magnetism
insurance_job_0015, 12700, Physicist specializing in electronics
insurance_job_0016, 12800, Atomic physicist
insurance_job_0017, 12900, Physicists - Others
insurance_job_0018, 13200, Earth physics specialist
insurance_job_0019, 13300, Geologist
insurance_job_0020, 13400, Meteorologist
insurance_job_0021, 13500, Astronomer
insurance_job_0022, 13900, Specialists in natural sciences
insurance_job_0023, 14200, Chemical technician
insurance_job_0024, 14300, Physical technician
insurance_job_0025, 14400, Geologist
insurance_job_0026, 14900, Technicians in the natural sciences
insurance_job_0027, 19000, Engineer
insurance_job_0028, 20000, Consultant Engineer
insurance_job_0029, 21000, Chief Engineer
insurance_job_0030, 21200, Architect
insurance_job_0031, 21400, City planning engineer
insurance_job_0032, 22100, General civil engineer
insurance_job_0033, 22150, Construction Engineer
insurance_job_0034, 22200, Road engineer
insurance_job_0035, 22250, Airport construction engineer
insurance_job_0036, 22300, Railways construction engineer
insurance_job_0037, 22350, Bridge construction engineer
insurance_job_0038, 22400, Sanitary construction engineer
insurance_job_0039, 22450, Irrigation and hydraulic engineer
insurance_job_0040, 22500, Soil Mechanics Engineer
insurance_job_0041, 22900, Other civil engineers
insurance_job_0042, 23050, General electrical engineer
insurance_job_0043, 23100, General electric engineer
insurance_job_0044, 23200, Powerful electrical engineer
insurance_job_0045, 23300, Electrical distribution and transmission engineer
insurance_job_0046, 23400, Electrical equipment engineer
insurance_job_0047, 23500, Communication engineer
insurance_job_0048, 23600, Computer engineer - to computer
insurance_job_0049, 23700, Network Engineer - Information
insurance_job_0050, 23900, Other electrical engineers
insurance_job_0051, 24100, General mechanical engineer
insurance_job_0052, 24110, Strong mechanical engineer
insurance_job_0053, 24150, Mechanical engineer and number machines
insurance_job_0054, 24200, Mechanical engineer -machinery and motors
insurance_job_0055, 24250, Marine engineer -marine machinery
insurance_job_0056, 24300, Ship building engineer
insurance_job_0057, 24350, flight engineer
insurance_job_0058, 24400, Vehicle mechanical engineer
insurance_job_0059, 24450, Mechanical engineer in spinning and weaving machines
insurance_job_0060, 24500, HVAC engineer
insurance_job_0061, 24550, Particle engineer
insurance_job_0062, 24600, Maintenance Engineer
insurance_job_0063, 24700, quality engineer
insurance_job_0064, 24800, Sales engineer
insurance_job_0065, 24900, Other mechanical engineers
insurance_job_0066, 25100, General chemical engineer
insurance_job_0067, 25300, Petroleum chemical engineer
insurance_job_0068, 25900, Other chemical engineers
insurance_job_0069, 26200, Mining Engineer
insurance_job_0070, 26400, Natural Metal Engineer
insurance_job_0071, 26900, Other metal engineers
insurance_job_0072, 27100, Mining or general mining engineer
insurance_job_0073, 27200, Coal Mine Engineer
insurance_job_0074, 27300, Minerals engineer
insurance_job_0075, 27400, Petroleum and natural gas engineer
insurance_job_0076, 27900, Other mining engineers
insurance_job_0077, 28000, Metal rolling engineer
insurance_job_0078, 28100, Industrial efficiency engineer
insurance_job_0079, 28200, Industrial production methods engineer
insurance_job_0080, 28300, Time and motion study engineer
insurance_job_0081, 28400, Quality control technology
insurance_job_0082, 28900, Other industrial engineers
insurance_job_0083, 29200, Glass and ceramic industry engineer
insurance_job_0084, 29300, Agricultural machinery engineer
insurance_job_0085, 29400, Engineer -food industries specialist
insurance_job_0086, 29500, Traffic planning engineer
